rsi_handle;display;rank;roles;discord_nickname_manual;discord_nickname_suggested;match_prozent;zertifiziert
00Gollom;00Gollom;Diamant;;00gollom;;;✓
4lex0naut;4lex0naut;Diamant;;;;;
4nimu5;4nimu5;Diamant;;;;;
A7dr0;Andro;Diamant;;;;;
Abji;Abji;Diamant;;;;;
Acutus_12;Acutus;Diamant;;;;;
advancefly;advancetom;Diamant;;;;;
Agent2222;Agent2222;Diamant;;;;;
Agil_Neiles;Agil;Diamant;;;grinefies;70%;
Aglais-II;Aglais II;Diamant;Leitung;;Aglais;80%;
Aglais-III;Aglais III;Diamant;Leitung;;Aglais;75%;
Aglais-IV;Aglais IV;Diamant;Leitung;;Aglais;80%;
Aglais-V;Aglais V;Diamant;;;Aglais;86%;
AGT-1007;AGT-1007;Diamant;;;;;
Aiden_Brice;Aiden;Diamant;;Aiden;;;✓
AinuMeril;AinuM;Diamant;;;;;
AkaliaAyame;AccaliaAyame;Diamant;;;AccaliaAyame;100%;
Akiraburn;Akiraburn;Diamant;;;Akiraburn;100%;
Akkari1990;Akkari1990;Diamant;;;_akkari;71%;
Aknosom;Aknosom;Diamant;;;Aknosom/Nico;74%;
Alex1806;Alex20031;Diamant;;;alex300583;74%;
alienaffe1;alienaffe1;Diamant;;;;;
AlienDuck;[DMNT]AlienDuck;Diamant;;;;;
Alienfresser;YummY;Diamant;;;;;
Allan-Anatine;AllanAnatine;Diamant;;;;;
Alpha117Wolf;Alpha117Wolf;Diamant;;;Alpha117Wolf;100%;
AlpRush;AlpRush;Diamant;;;;;
AlterFritz;AlterFritz;Diamant;;;;;
AlwasterBlaster;AlwasterBlaster;Diamant;;;;;
Andrahir83;Star Lord;Diamant;;;;;
Andwyn;Andwyn;Diamant;;;Andwyn;100%;
Anib;Anib;Diamant;;;Anib;100%;
Anoma;Anoma;Diamant;;;;;
Antidebilika;Antidebilika;Diamant;;;Antidebilika;100%;
Archibald-Haddock;Archibald-Haddock;Diamant;;;;;
arctic305;arctic305;Diamant;;;;;
Arellarti;Arellarti;Diamant;;;Arellarti;100%;
Arius_the_Outlaw;Arius;Diamant;;;Arius;100%;
Ascim;Ascim;Diamant;;;Ascim;100%;
Astrakalle;Pascal;Diamant;;;;;
Astriminator;Astriminator;Diamant;;;;;
Ator_GER;Ator_GER;Diamant;;;;;
AuroDri;[I.H.M.] Aurorasoley Driver;Diamant;;;;;
Aurora_Silvver;S1lvv3r;Diamant;;;S1lvv3r;100%;
AZKq;Ardefy;Diamant;;;;;
Azuth75;Azuth75;Diamant;;;Azuth75;100%;
BackKnight;BackKnight;Diamant;;;BackKnight;100%;
Backtoheroots;backtotheroots;Diamant;;;;;
Bad_Witch;Lea;Diamant;;;Bad_Witch;100%;
Baldrian_Sky;Baldrian_Sky;Diamant;;;;;
balton-64;balton-64;Diamant;;;;;
Bamguin;Bamguin;Diamant;;;;;
Baracuda;Baracuda;Diamant;;;;;
Barashhi;Barashhi;Diamant;;;;;
Basie013;Basie013;Diamant;;;Basie013;100%;
BavarianPanda;Woipadinga;Diamant;;;;;
Baxuz74;Baxuz74;Diamant;;;;;
Beandkey_NRW;Beandkey;Diamant;;;Beandkey;100%;
BeefSlave;BeefSlave;Diamant;;;;;
Beetle_Ox;Beetle Ox;Diamant;;;Beetle_Ox;100%;
BeltenWummler;BeltenWummler;Diamant;;;beltenwummler;100%;
Ben_nok;Ben_nok;Diamant;;;Ben_nok;100%;
Bengalo;Bengalo;Diamant;;;;;
BenjB1983;Benjamin Buske;Diamant;;;;;
Bermudax;Bermudax;Diamant;;;Cybermax;75%;
bigpuma8417;zeroxx225;Diamant;;;;;
Billy-Hill;Billy Hill;Diamant;;;;;
Black_Manta;Black Falcon;Diamant;;;;;
Blackout_lk;Spacebubble;Diamant;;;;;
Blackscorp81;BS81;Diamant;;;;;
BlackShadow101;BlackShadow101;Diamant;;;BlackShadow101;100%;
Blackspack;Blackspack;Diamant;;;Blackspack;100%;
BlackSteel82;BlackSteel82;Diamant;;;;;
Blue_Claus;Blue Claus;Diamant;;;Blue Claus;100%;
boby9000;boby9000;Diamant;;;boby9000;100%;
BogusGER;DSF;Diamant;;;;;
boiler179;boiler179;Diamant;;;;;
Bomberpilot971;Bomberpilot971;Diamant;;;Bomberpilot_97;93%;
Booboobear01;Booboobear;Diamant;;;;;
BookSC;BookSC;Diamant;;;BookSC;100%;
Borknir;Borknir;Diamant;;;;;
Boroo;Boro;Diamant;;;;;
Box-8323;Box-8323;Diamant;;;box8324;80%;
Braiti;Braiti;Diamant;;;;;
Browny;Browny;Diamant;;;;;
BuckyVR6;BuckyVR6;Diamant;;;BuckyVr6;100%;
Bug_Skipper;Bug Skipper;Diamant;;;;;
Bumas;Bumas;Diamant;;;Bumas;100%;
Bumsadler;Bumsadler;Diamant;;;;;
Calador;Calador;Diamant;;;;;
Caleidon-Phoenix;Caleidon-Phoenix;Diamant;;;;;
calidrion;Calidrion;Diamant;;;Calidrion;100%;
Candyzero;Candyzero;Diamant;;;;;
Capt_Nuki;Capt.Nuki;Diamant;;;;;
Captain_Munchies;Rollo;Diamant;;;;;
Captain_Rexx;Charlotte;Diamant;;;;;
Captain_Xzan;Xzan;Diamant;;;;;
Capybellie;Ellie Daran;Diamant;;;;;
CargoDredge;Plevu Krawo;Diamant;;;;;
CARP77;CARP77;Diamant;;;carp3767;86%;
CashDollar;Cash Dollar;Diamant;;;;;
Castra-Citizen;Castra-Citizen;Diamant;;;;;
Caurakxoth;Caurakxoth;Diamant;;;;;
Ce-Kay;Ce-Kay;Diamant;;;;;
Cebb;Cebb;Diamant;;;;;
Ceran;Ceran Katelo;Diamant;;;Ceran Katelo;100%;
Cerberud;Cerberud;Diamant;;;Cerberus;88%;
CeresX;Ceres;Diamant;;;Cerberus;77%;
ceth85;Ceth;Diamant;;;ceth;100%;
Cetos;Cetos;Diamant;;;Cetos;100%;
CG_Solas;CG_Solas;Diamant;;;;;
Charlize_Godspeed;Charlize Godspeed;Diamant;;;;;
Chillkowski;Chillkowski;Diamant;;;Chillkowski;100%;
Chilly-Vanilly;Cpt. CapsLock;Diamant;;;;;
ChrilleA10;Chrille;Diamant;;;;;
chris2763;chris2763;Diamant;;;chris2763;100%;
chrissix666;chrissix666;Diamant;;;;;
CitizenMcPollo;CitizenMcPollo;Diamant;;;;;
CitizenNo000;CitizenNo000;Diamant;;;CitizenNo000;100%;
Citysnake;Citysnake;Diamant;;;;;
ClanBunny;ClanBunny;Diamant;;;ClanBunny;100%;
cleaner6;cleaner6;Diamant;;;CleanerBot;78%;
CMDR_Below;CMDR_Below;Diamant;;;;;
CMDR_Elight;CMDR_Elight;Diamant;;;;;
CMDR_Jam3son;CMDR_Jam3son;Diamant;;;CMDR_Jam3son;100%;
COL-Jurten;Tadakuni;Diamant;;;;;
Colyvor;Colyvor;Diamant;;;;;
CommanderKreusch;CommanderKreusch;Diamant;;;CommanderKreusch;100%;
CommkiNG;=Twister=;Diamant;;;;;
commodore65;commodore65;Diamant;;;;;
Conjurerdragon;Conjurerdragon;Diamant;;;;;
Copernikus;Dom 1961;Diamant;;;;;
Corvale;Corvale;Diamant;;;;;
Corviness_Skirge;"Corviness &quot;Arclight&quot; Skirge";Diamant;;;;;
CorvusLucis;CorvusLucis;Diamant;;;Fabio / CorvusLucis;73%;
Corydoras99;Corydoras99;Diamant;;;Corydoras99;100%;
Cosmonaut-Camille;Cosmonaut-Camille;Diamant;;;;;
Cpt_Balu;Gravemind;Diamant;;;;;
CPT_Emmett_Brown;Dr Emmett brown;Diamant;;;;;
Cpt_Pickles;Troysis;Diamant;;;;;
Cpt_Sille;Cpt_Sille;Diamant;;;;;
CptCalamari;Cpt.Calamari;Diamant;;;Cpt.Calamari;100%;
CptDiego;Cpt_Diego90;Diamant;;;;;
CptHiggs;Biker69;Diamant;;;;;
Cptn-Justin;Cptn.Justin;Diamant;;;cptn.justin;100%;
Crankio;Crankio;Diamant;;;;;
CrashCow;CrashCow;Diamant;;;;;
Creacks;Creacks;Diamant;;;Creacks;100%;
Creaper;Creaper87;Diamant;;;creaper87;100%;
Creeepr;Creeepr;Diamant;;;;;
Creek345;Creek345;Diamant;;;;;
Creynox;Creynox;Diamant;;;;;
Crossfader217;Cr0ssF4d3r;Diamant;;;;;
CryNexXx;CryNexXx;Diamant;;;;;
Crypt24;Crypt24;Diamant;;;mrcrypt24;88%;
CryptiC_86;Kryptik;Diamant;;;;;
CyrionTheFlayed;CyrionTheFlayed;Diamant;;;;;
cyvo;cyvo;Diamant;;;;;
D_y_s;D_y_s;Diamant;;;;;
dada73;dada73;Diamant;;;;;
DaH0nk;DaH0nk;Diamant;;;;;
Dajixx;Dajixx;Diamant;;;;;
DanteGG;DanteGG;Diamant;;;;;
DarkOrbit;Luckstar;Diamant;;;;;
Dashiwang;Dashiwang;Diamant;;;;;
Dave_001;Dave_001;Diamant;;;;;
Davokh;Davokh;Diamant;;;;;
ddsc01;ddsc01;Diamant;;;ddsc;80%;
Deadpool_88;Deadpool_88;Diamant;;;Deadpool_88;100%;
DeedsOne;Deeds One;Diamant;;;;;
Demianos;Demianos;Diamant;;;;;
Demijurge;Demijurge;Diamant;;;demijurge;100%;
Demonplay92;Demonplay92;Diamant;;;demonplay92;100%;
dennyzet;dennyzet;Diamant;;;dennyzet;100%;
Der_Philosoph;Priogeth;Diamant;;;priogeth;100%;
DerLorcan;Lorcan;Diamant;;;Elochain;71%;
derMosher;[DMNT] der Mosher;Diamant;;;dermosher;100%;
DerTensa;DerTensa;Diamant;;;;;
Devi_n;Devi_n;Diamant;;;;;
Diavo;Diavo;Diamant;;;;;
DieterStahl;Dieter Stahl;Diamant;;;Dieter Stahl HRTMT;80%;
Diggi;Diggi;Diamant;;;;;
Django-Freeman;Django Freeman;Diamant;;;;;
djannky;[KRT] Djannky;Diamant;;;Djannky;100%;
DJB1252;DJB1252;Diamant;;;;;
docjONEs;docjONEs;Diamant;;;;;
DoctorDudu;Doctor Dudu;Diamant;;;DoctorDudu;100%;
DoctorRyk;DoctorRyk;Diamant;;;;;
Dol_Jonda_Mandalorian;Dol_Jonda_Mandalorian;Diamant;;;;;
DomKTM;DomKTM;Diamant;;;;;
Doomster161;Doomer;Diamant;;;Dome;80%;
Double_Star4;Double_Star4;Diamant;;;doublesea4;82%;
